term	reading	sentence	category	source
自立管	じりつかん	基本設計の照査で、担当技師は自立管の状態を写真と記録で確かめたため、その結論を協議録に残した。	管路更生	国土交通省「管きょ更生工法における設計・施工管理ガイドライン」
複合管	ふくごうかん	施工計画の協議に先立ち、担当技師は複合管の状態を写真と記録で確かめたため、その結論を協議録に残した。	管路更生	国土交通省「管きょ更生工法における設計・施工管理ガイドライン」
二層構造管	にそうこうぞうかん	夜間工事の安全会議では、担当技師は二層構造管の状態を写真と記録で確かめたため、その結論を協議録に残した。	管路更生	国土交通省「管きょ更生工法における設計・施工管理ガイドライン」
鞘管	さやかん	月例点検の結果を受けて、担当技師は鞘管の状態を写真と記録で確かめたため、その結論を協議録に残した。	管路更生	国土交通省「管きょ更生工法における設計・施工管理ガイドライン」
更生管	こうせいかん	豪雨後の緊急巡視で、担当技師は更生管の状態を写真と記録で確かめたため、その結論を協議録に残した。	管路更生	国土交通省「管きょ更生工法における設計・施工管理ガイドライン」
既設管	きせつかん	更新予算の査定時に、担当技師は既設管の状態を写真と記録で確かめたため、その結論を協議録に残した。	管路更生	国土交通省「管きょ更生工法における設計・施工管理ガイドライン」
管きょ更生工法	かんきょこうせいこうほう	住民説明会の資料では、担当技師は管きょ更生工法の状態を写真と記録で確かめたため、その結論を協議録に残した。	管路更生	国土交通省「管きょ更生工法における設計・施工管理ガイドライン」
反転挿入	はんてんそうにゅう	議会答弁を準備する過程で、担当技師は反転挿入の状態を写真と記録で確かめたため、その結論を協議録に残した。	管路更生	国土交通省「管きょ更生工法における設計・施工管理ガイドライン」
引込挿入	ひきこみそうにゅう	新人研修の実習中に、担当技師は引込挿入の状態を写真と記録で確かめたため、その結論を協議録に残した。	管路更生	国土交通省「管きょ更生工法における設計・施工管理ガイドライン」
形成材	けいせいざい	竣工検査の前日、担当技師は形成材の状態を写真と記録で確かめたため、その結論を協議録に残した。	管路更生	国土交通省「管きょ更生工法における設計・施工管理ガイドライン」
更生材	こうせいざい	災害訓練の反省会で、担当技師は更生材の状態を写真と記録で確かめたため、その結論を協議録に残した。	管路更生	国土交通省「管きょ更生工法における設計・施工管理ガイドライン」
