＃ 上水道ドメイン用語 (読み付き)
＃ 読みはすべて出典の用語集が明示したものを採用。推測した読みは含めない。
＃ source: akashi = 明石市水道局 水道用語集, maezawa = 前澤化成工業 排水設備用語集
＃ 列: term	reading	sentence	category	source
term	reading	sentence	category	source
赤水	あかみず	断水の復旧直後は赤水が出ることがある。	水質	akashi
一日最大給水量	いちにちさいだいきゅうすいりょう	施設能力は一日最大給水量を基準に決定する。	計画	akashi
一日平均給水量	いちにちへいきんきゅうすいりょう	一日平均給水量は前年度より微減している。	計画	akashi
応急給水	おうきゅうきゅうすい	震災時には拠点給水所で応急給水を実施する。	維持管理	akashi
簡易専用水道	かんいせんようすいどう	受水槽の容量が十立方メートルを超えると簡易専用水道に該当する。	制度	akashi
給水	きゅうすい	断水区域への給水は本日中に復旧する見込みだ。	一般	akashi
給水管	きゅうすいかん	老朽化した給水管の布設替えを進めている。	管路	akashi
給水区域	きゅうすいくいき	当該地区は認可された給水区域の外にある。	制度	akashi
給水原価	きゅうすいげんか	給水原価が供給単価を上回り逆ざやとなっている。	経営	akashi
給水人口	きゅうすいじんこう	給水人口の減少が料金収入に影響している。	経営	akashi
給水栓	きゅうすいせん	給水栓での残留塩素濃度を毎日測定している。	設備	akashi
給水装置	きゅうすいそうち	給水装置の工事は指定事業者が施行する。	設備	akashi
給水方式	きゅうすいほうしき	建物の高さに応じて給水方式を選定する。	設備	akashi
給水量	きゅうすいりょう	夏季は給水量が大きく増加する傾向にある。	計画	akashi
急速ろ過法	きゅうそくろかほう	当浄水場では急速ろ過法を採用している。	浄水処理	akashi
供給単価	きょうきゅうたんか	供給単価の改定について審議会に諮問した。	経営	akashi
業務指標	ぎょうむしひょう	業務指標を用いて他事業体と比較分析する。	経営	akashi
緊急遮断弁	きんきゅうしゃだんべん	配水池には地震時に作動する緊急遮断弁を設置している。	設備	akashi
県水	けんすい	不足分は県水の受水で補っている。	一般	akashi
原水	げんすい	河川から取水した原水を浄水場へ導水する。	浄水処理	akashi
硬質塩化ビニール管	こうしつえんかびにーるかん	宅地内の配管には硬質塩化ビニール管を用いた。	管路	akashi
高度浄水処理	こうどじょうすいしょり	かび臭対策として高度浄水処理を導入した。	浄水処理	akashi
残留塩素	ざんりゅうえんそ	末端の給水栓で残留塩素が基準を満たしている。	水質	akashi
事業認可	じぎょうにんか	区域拡張には事業認可の変更が必要となる。	制度	akashi
自然流下方式	しぜんりゅうかほうしき	高台の配水池から自然流下方式で配水している。	設備	akashi
指定給水装置工事事業者	していきゅうすいそうちこうじじぎょうしゃ	工事は指定給水装置工事事業者に依頼してください。	制度	akashi
取水	しゅすい	渇水期は取水が制限される場合がある。	浄水処理	akashi
受水	じゅすい	隣接市からの受水により水源を確保している。	一般	akashi
小規模貯水槽水道	しょうきぼちょすいそうすいどう	小規模貯水槽水道の管理は設置者の責任となる。	制度	akashi
浄水場	じょうすいじょう	浄水場の更新工事が今年度から始まる。	施設	akashi
水源	すいげん	この地域の水源は主に地下水である。	一般	akashi
水質基準	すいしつきじゅん	検査項目はすべて水質基準に適合していた。	水質	akashi
水質検査計画	すいしつけんさけいかく	年度ごとに水質検査計画を公表している。	水質	akashi
水道事業	すいどうじぎょう	水道事業の広域化について協議を始めた。	経営	akashi
水道法	すいどうほう	水道法に基づく水質検査を実施している。	制度	akashi
石綿セメント管	せきめんせめんとかん	残存する石綿セメント管の解消を急いでいる。	管路	akashi
送水管	そうすいかん	浄水場から配水池までを送水管で結んでいる。	管路	akashi
耐震管	たいしんかん	幹線は順次耐震管へ更新している。	管路	akashi
耐震診断	たいしんしんだん	主要施設の耐震診断を実施した。	維持管理	akashi
耐用年数	たいようねんすう	法定耐用年数を超えた管路が増加している。	経営	akashi
ダクタイル鋳鉄管	だくたいるちゅうてつかん	幹線にはダクタイル鋳鉄管を採用している。	管路	akashi
地方公営企業法	ちほうこうえいきぎょうほう	水道事業は地方公営企業法の適用を受ける。	制度	akashi
鋳鉄管	ちゅうてつかん	古い区間に残る鋳鉄管を調査した。	管路	akashi
貯水槽	ちょすいそう	マンションの貯水槽は年一回清掃する必要がある。	設備	akashi
貯水槽水道	ちょすいそうすいどう	貯水槽水道の衛生管理について指導を行った。	制度	akashi
直結式給水	ちょっけつしききゅうすい	受水槽を廃止し直結式給水へ切り替えた。	設備	akashi
直結増圧式給水	ちょっけつぞうあつしききゅうすい	中層建物では直結増圧式給水が採用される。	設備	akashi
直結直圧式給水	ちょっけつちょくあつしききゅうすい	二階建て住宅は直結直圧式給水で対応できる。	設備	akashi
滞留時間	たいりゅうじかん	配水池の滞留時間が長いと残留塩素が低下する。	浄水処理	akashi
継手	つぎて	耐震性能は継手の構造に大きく依存する。	管路	akashi
導水管	どうすいかん	取水施設から浄水場までを導水管でつないでいる。	管路	akashi
動水圧	どうすいあつ	使用時の動水圧が規定値を下回っていた。	設備	akashi
日本水道協会	にほんすいどうきょうかい	日本水道協会の規格に適合した製品を使用する。	制度	akashi
配水管	はいすいかん	配水管の漏水調査を夜間に実施する。	管路	akashi
配水場	はいすいじょう	配水場のポンプ設備を更新した。	施設	akashi
配水池	はいすいち	配水池の水位を遠方監視している。	施設	akashi
表流水	ひょうりゅうすい	当市の水源は表流水が中心である。	一般	akashi
深井戸	ふかいど	深井戸から取水した地下水を利用している。	施設	akashi
負荷率	ふかりつ	負荷率が低いと施設効率が悪化する。	経営	akashi
