＃ 下水道ドメイン用語 (リポジトリ既存の benchmark_terms_sewage_60_cases.tsv 由来)
＃ S001-S015 は human_curated、S016-S060 は公開資料で読みを確認済み
term	reading	sentence	category	source
活性汚泥法	かっせいおでいほう	この排水処理には活性汚泥法が最も適している。	下水道	repo_benchmark_60
嫌気性消化	けんきせいしょうか	発生した汚泥は嫌気性消化によってメタンガスに変換される。	下水道	repo_benchmark_60
最終沈殿池	さいしゅうちんでんち	反応タンクを出た下水は最終沈殿池で固液分離される。	下水道	repo_benchmark_60
生物化学的酸素要求量	せいぶつかがくてきさんそようきゅうりょう	放流水の生物化学的酸素要求量を毎日測定している。	下水道	repo_benchmark_60
化学的酸素要求量	かがくてきさんそようきゅうりょう	工場排水の化学的酸素要求量が基準値を超えていた。	下水道	repo_benchmark_60
懸濁物質	けんだくぶっしつ	流入水に含まれる懸濁物質を沈殿で取り除く。	下水道	repo_benchmark_60
嫌気好気法	けんきこうきほう	この処理場では嫌気好気法でリンを除去している。	下水道	repo_benchmark_60
脱窒素	だっちっそ	無酸素槽での脱窒素により窒素ガスが大気へ放出される。	下水道	repo_benchmark_60
汚泥脱水	おでいだっすい	濃縮した汚泥は汚泥脱水で含水率を下げる。	下水道	repo_benchmark_60
流量調整槽	りゅうりょうちょうせいそう	雨天時の流入変動は流量調整槽で吸収する。	下水道	repo_benchmark_60
散気装置	さんきそうち	曝気槽の底に散気装置を設置して空気を送る。	下水道	repo_benchmark_60
膜分離活性汚泥法	まくぶんりかっせいおでいほう	省スペース化のため膜分離活性汚泥法を採用した。	下水道	repo_benchmark_60
汚泥消化槽	おでいしょうかそう	汚泥消化槽の温度を一定に保つことが重要だ。	下水道	repo_benchmark_60
硝化脱窒	しょうかだっちっそ	高度処理では硝化脱窒で窒素を除去する。	下水道	repo_benchmark_60
返送汚泥	へんそうおでい	沈殿した汚泥の一部を返送汚泥として反応槽へ戻す。	下水道	repo_benchmark_60
